北京大学	Peking University
淄博科技职业学院	Zibo Vocational College of science and technology
河南职业技术学院	Henan Vocational and Technical College
漯河职业技术学院	LuoHe Vocational Technology College
黄河水利职业技术学院	yellow river conservancy technical institute
三门峡职业技术学院	Sanmenxia vocational and Technical College
郑州铁路职业技术学院	Zhengzhou Railway Vocational and Technical College
濮阳职业技术学院	Puyang vocational and Technical College
许昌职业技术学院	Xuchang vocational and Technical College
鹤壁职业技术学院	Hebi Vocational and Technical College
商丘职业技术学院	Shangqiu Professional Training College
河南工业职业技术学院	henan polytechnic institute
河南司法警官职业学院	Henan Judicial Police Vocational College
平顶山工业职业技术学院	Pingdingshan Polytechnic
郑州华信职业技术学院	Zhengzhou Huaxin vocational and Technical College
郑州科技职业学院	Zhengzhou Institute of science and technology
济源职业技术学院	Jiyuan vocational and Technical College
周口职业技术学院	Zhoukou vocational and Technical College
武汉职业技术学院	Wuhan Polytechnic
武汉船舶职业技术学院	wuhan institute of shipbuilding technology
长江职业学院	Changjiang Vocational College
黄冈职业技术学院	huanggang polytechnic college
十堰职业技术学院	Shiyan vocational and Technical College
襄樊职业技术学院	Xiangfan Vocational and Technical College
恩施职业技术学院	Enshi vocational and Technical College
湖北交通职业技术学院	Hubei Communications vocational and Technical College
湖北轻工职业技术学院	Hubei Polytechnic of light industry
仙桃职业学院	xiantao vocational college
荆州职业技术学院	Jingzhou Institute of Technology
武汉工程职业技术学院	Wuhan Institute of Engineering Technology
武汉航海职业技术学院	Wuhan Maritime Vocational and Technical College
武汉电力职业技术学院	wuhan electric power technical college
湖北城市建设职业技术学院	Hubei Vocational College of urban construction
湖北水利水电职业技术学院	Hubei Water Resources Technical College
武汉外语外事职业学院	Wuhan Vocational College of foreign languages and foreign affairs
武汉商贸职业学院	Wuhan Business Vocational College
武汉科技职业学院	Wuhan Vocational College of science and technology
武汉信息传播职业技术学院	Wuhan Vocational College of information communication
湖北开放职业学院	Hubei open vocational college
武汉警官职业学院	Wuhan Police Officer Vocational College
随州职业技术学院	Suizhou vocational and Technical College
长沙民政职业技术学院	Changsha Vocational College of Civil Affairs
湖南工业职业技术学院	Hunan Institute of Technology
湖南交通职业技术学院	Hunan Communications vocational and Technical College
湖南医药学院	Hunan Medical College
湖南科技职业学院	Hunan Vocational College of science and technology
湖南环境生物职业技术学院	Hunan Vocational College of Environmental Biology
湖南铁道职业技术学院	hunan railway professional technology college
永州职业技术学院	Yongzhou vocational and Technical College
湖南大众传媒职业技术学院	Hunan Vocational College of mass media
长沙通信职业技术学院	Changsha Communication Vocational and Technical College
湘潭医卫职业技术学院	Xiangtan medical and health vocational and Technical College
湖南商务职业技术学院	Hunan Vocational College of Commerce
郴州职业技术学院	Chenzhou vocational and Technical College
娄底职业技术学院	Loudi vocational and Technical College
张家界航空工业职业技术学院	Zhangjiajie aviation industry vocational and Technical College
湖南工程职业技术学院	Hunan Vocational College of Engineering
长沙环境保护职业技术学院	Changsha Vocational College of environmental protection
湖南艺术职业学院	Hunan Art Vocational College
湖南体育职业学院	Hunan Sports Vocational College
湖南机电职业技术学院	Hunan electromechanical vocational and Technical College
广州民航职业技术学院	Guangzhou Civil Aviation College
广东轻工职业技术学院	Guangdong Polytechnic of light industry
顺德职业技术学院	Shunde Polytechnic
广东交通职业技术学院	Guangdong Communications vocational and Technical College
番禺职业技术学院	Panyu Polytechnic
广东水利电力职业技术学院	Guangdong Institute of water resources and electric power
深圳信息职业技术学院	Shenzhen Institute of Information Technology
深圳职业技术学院	Shenzhen Polytechnic
潮汕职业技术学院	Chaoshan vocational and Technical College
广东松山职业技术学院	Guangdong Songshan Polytechnic College
广东农工商职业技术学院	guangdong aib polytechnic college
佛山职业技术学院	Foshan Polytechnic
广东新安职业技术学院	Guangdong Xin'an vocational and Technical College
广东省外语艺术职业学院	Guangdong Vocational College of foreign languages and Arts
广东机电职业技术学院	Guangdong Institute of mechanical and electrical technology
广东建设职业技术学院	Guangdong Institute of construction technology
广东纺织职业技术学院	Guangdong Textile Polytechnic
广东女子职业技术学院	Guangdong Women's Vocational and Technical College
广东岭南职业技术学院	Guangdong Lingnan Institute of Technology
汕尾职业技术学院	Shanwei vocational and Technical College
河源职业技术学院	Heyuan vocational college
罗定职业技术学院	Luoding vocational and Technical College
阳江职业技术学院	Yangjiang vocational and Technical College
广东财经职业学院	Guangdong Vocational College of Finance and Economics
揭阳职业技术学院	Jieyang vocational and Technical College
广东邮电职业技术学院	Guangdong Polytechnic of Posts and Telecommunications
汕头职业技术学院	Shantou Polytechnic
清远职业技术学院	Qingyuan vocational and Technical College
广东亚视演艺职业学院	Guangdong ATV Vocational College of performing arts
广东司法警官职业学院	Guangdong Justice Police Vocational College
广东建华职业学院	Guangdong Jianhua Vocational College
广东工贸职业技术学院	Guangdong College of Industry and Commerce
广州康大职业技术学院	Guangzhou Kangda vocational and Technical College
南海东软信息技术职业学院	Nanhai Neusoft Information Technology Vocational College
珠海艺术职业学院	Zhuhai Art Vocational College
广西职业技术学院	Guangxi Vocational and Technical College
广西机电职业技术学院	Guangxi Institute of mechanical and electrical technology
柳州职业技术学院	Liuzhou Vocational and Technical College
南宁职业技术学院	Nanning Vocational and Technical College
广西建设职业技术学院	Guangxi Institute of construction technology
广西水利电力职业技术学院	Guangxi Institute of water resources and electric power
广西交通职业技术学院	Guangxi communications vocational and Technical College
广西农业职业技术学院	Guangxi Agricultural Vocational and Technical College
广西生态工程职业技术学院	Guangxi Ecological Engineering Vocational and Technical College
广西国际商务职业技术学院	Guangxi International Business College
海南职业技术学院	Hainan Vocational and Technical College
重庆电子职业技术学院	Chongqing Institute of electronic technology
重庆工业职业技术学院	Chongqing Industry Polytechnic College
重庆工程职业技术学院	Chongqing Vocational Institute of Engineering
重庆警官职业学院	Chongqing Police Officer Vocational College
重庆信息技术职业学院	chongqing vocational college of information technology
重庆海联职业技术学院	Chongqing Hailian Technical and Vocational College
重庆光彩职业技术学院	Chongqing Guangcai vocational and Technical College
重庆巴渝职业技术学院	Chongqing Bayu vocational and Technical College
重庆三峡职业学院	Chongqing Three Gorges Vocational College
成都航空职业技术学院	chengdu aeronautic vocational and technical college
四川交通职业技术学院	Sichuan communications vocational and Technical College
达州职业技术学院	Dazhou vocational and Technical College
四川机电职业技术学院	Sichuan electromechanical vocational and Technical College
四川工程职业技术学院	Sichuan Engineering Technical College
四川电力职业技术学院	Sichuan Electric Vocational and Technical College
绵阳职业技术学院	Mianyang Vocational and Technical College
四川工商职业技术学院	Sichuan Institute of business and technology
四川建筑职业技术学院	Sichuan College of Architectural Technology
四川国际标榜职业学院	Polus International College
成都农业科技职业学院	Chengdu Vocational College of agricultural science and technology
宜宾职业技术学院	Yibin vocational and Technical College
成都艺术职业学院	Chengdu Art Vocational College
四川托普信息技术职业学院	sichuan top it vocational institute
四川职业技术学院	Sichuan Vocational and Technical College
眉山职业技术学院	Meishan vocational and Technical College
泸州职业技术学院	Luzhou vocational and Technical College
乐山职业技术学院	Leshan vocational and Technical College
雅安职业技术学院	Yaan Vocational College
贵州航天职业技术学院	Guizhou Aerospace Vocational and Technical College
贵州交通职业技术学院	Guizhou Polytechnic College of Communications
贵州电子信息职业技术学院	Guizhou Electronic Information Vocational and Technical College
贵州警官职业学院	Guizhou Police Officer Vocational College
安顺职业技术学院	Anshun vocational and Technical College
黔东南民族职业技术学院	qiandongnan national polytechnic
黔南民族职业技术学院	Qiannan Vocational College for Nationalities
遵义职业技术学院	Zunyi vocational and Technical College
贵州工业职业技术学院	Guizhou Industry Polytechnic College
贵州电力职业技术学院	Guizhou Electric Power Vocational and Technical College
六盘水职业技术学院	Liupanshui vocational and Technical College
铜仁职业技术学院	Tongren Vocational and Technical College
云南国土资源职业学院	Yunnan Vocational College of land and resources
云南交通职业技术学院	yunnan jiaotong college
昆明艺术职业学院	Kunming Art Vocational College
西双版纳职业技术学院	Xishuangbanna Vocational and Technical Institute
玉溪农业职业技术学院	Yuxi Agricultural Vocational and Technical College
昆明工业职业技术学院	Kunming Institute of Technology
云南能源职业技术学院	yunnan vocational institute of energy technology
云南农业职业技术学院	Yunnan Agricultural Vocational and Technical College
云南司法警官职业学院	Yunnan Vocational College of Judicial Police
陕西工业职业技术学院	Shaanxi Polytechnic Institute
杨凌职业技术学院	Yangling Vocational Technical College
西安外事学院	Xi'an Foreign Affairs University
陕西财经职业技术学院	Shaanxi Vocational College of Finance and Economics
陕西国防工业职业技术学院	Shaanxi national defense industry vocational and Technical College
陕西交通职业技术学院	Shaanxi communications vocational and Technical College
陕西能源职业技术学院	Shaanxi Energy Institute
陕西职业技术学院	Shaanxi Vocational and Technical College
西安航空职业技术学院	Xi'an Aeronautical Polytechnic Institute
西安高新科技职业学院	Xi'an high tech Vocational College
西安思源职业学院	Xi'an Siyuan Vocational College
陕西服装艺术职业学院	Shaanxi Vocational College of fashion art
陕西国际商贸职业学院	Shaanxi International Business College
西安三资职业学院	Xi'an three capital Vocational College
兰州石化职业技术学院	lanzhou petrochemical college of vocational technology
甘肃工业职业技术学院	Gansu Industry Polytechnic College
甘肃建筑职业技术学院	Gansu Construction Vocational Technical College
甘肃警察职业学院	GANSU Police Vocational College
甘肃林业职业技术学院	Gansu Forestry Technological College
酒泉职业技术学院	Jiuquan vocational and Technical College
兰州外语职业学院	Lanzhou Vocational College of foreign languages
兰州职业技术学院	lanzhou vocational technical college
青海警官职业学院	Qinghai Police Officer Vocational College
青海畜牧兽医职业技术学院	Qinghai College of animal husbandry and veterinary technology
青海交通职业技术学院	qinghai communications technical college
青海建筑职业技术学院	Qinghai College of Architectural Technology
宁夏理工学院	Ningxia Institute of Technology
宁夏工业职业学院	Ningxia Institute of Technology
宁夏职业技术学院	Ningxia vocational and Technical College
宁夏财经职业技术学院	Ningxia Vocational College of Finance and Economics
宁夏司法警官职业学院	Ningxia Judicial Police Vocational College
宁夏建设职业技术学院	Ningxia Construction Vocational and Technical College
新疆农业职业技术学院	Xinjiang Agricultural Vocational and Technical College
新疆机电职业技术学院	Xinjiang electromechanical vocational and Technical College
新疆轻工职业技术学院	Xinjiang Polytechnic of light industry
克拉玛依职业技术学院	Karamay vocational and Technical College
昌吉职业技术学院	Changji vocational and Technical College
伊犁职业技术学院	Yili vocational and Technical College
巴音郭楞职业技术学院	Bayingolin vocational and Technical College
阿克苏职业技术学院	Aksu vocational and Technical College
新疆建设职业技术学院	Xinjiang Construction Vocational and Technical College
山西传媒学院	Shanxi Media College
陕西航天职工大学	Shaanxi Aerospace Workers University
河北地质职工大学	Hebei University of Geology and workers
江西行政管理干部学院	Jiangxi ADMINISTRATIVE CADRE COLLEGE
山西职工医学院	Shanxi staff medical college
山西煤炭职工联合大学	Shanxi Coal Workers Union University
吉林省教育学院	Jilin Institute of Education
鹤岗矿务局职工大学	Hegang Mining Bureau staff University
黑龙江省农垦管理干部学院	Heilongjiang Agricultural Reclamation Management Cadre College
黑龙江省政法管理干部学院	Heilongjiang College of political and legal management cadres
黑龙江省教育学院	Heilongjiang Institute of Education
佳木斯市教育学院	Jiamusi College of Education
江苏教育学院	Jiangsu Institute of Education
宁波教育学院	Ningbo Institute of Education
福建教育学院	Fujian Institute of Education
福建经济管理干部学院	Fujian Institute of economic management cadres
江西教育学院	Jiangxi Institute of Education
山东省水利职工大学	Shandong University of water conservancy and workers
青岛远洋船员学院	Qingdao Ocean crew College
山东省贸易职工大学	Shandong Trade and staff University
山东省经济管理干部学院	Shandong Economic Management Institute
山东省农业管理干部学院	Shandong Agricultural Management Cadre College
山东省教育学院	Shandong Institute of Education
潍坊教育学院	Weifang Institute of Education
第一拖拉机制造厂拖拉机学院	Tractor Academy of the first tractor factory
开封教育学院	Kaifeng Institute of Education
平顶山教育学院	Pingdingshan Institute of Education
丹江口工程管理局职工大学	Staff University of Danjiangkou Engineering Administration Bureau
荆州教育学院	Jingzhou Institute of Education
株洲市职工大学	Zhuzhou University of workers and staff
南方动力机械公司职工工学院	Staff College of Southern Power Machinery Company
广东教育学院	Guangdong Institute of Education
广西教育学院	Guangxi Institute of Education
成都师范学院	Chengdu Normal University
重庆第二师范学院	Chongqing Second Normal University
贵州教育学院	Guizhou Institute of Education
西安航空职工大学	Xi'an aviation workers University
西安飞机工业公司职工工学院	Staff College of Xi'an Aircraft Industry Company
西安铁路工程职工大学	Xi'an railway engineering staff University
西安电力机械制造公司机电学院	Mechanical and electrical College of Xi'an electric machinery manufacturing company
陕西省建筑工程总公司职工大学	Staff University of Shaanxi Construction Engineering Corporation
西安外贸职工大学	Xi'an University of foreign trade and staff
陕西教育学院	Shaanxi Institute of Education
甘肃机械电子职工大学	Gansu University of mechanical and electronic workers
兰州航空工业职工大学	Lanzhou University of Aeronautical Industry and workers
兰州铁路工程职工大学	Lanzhou railway engineering staff University
湖北省经济管理干部学院	Hubei Economic Management Cadre College
天津市广播电视大学	Tianjin Radio and Television University
天津市工会管理干部学院	Tianjin Union Management Cadre College
石家庄职工大学	Shijiazhuang University of workers and staff
山西煤炭管理干部学院	shanxi coal mining administrators college
山西青年管理干部学院	Shanxi youth MANAGEMENT CADRE COLLEGE
广东科学技术职业学院	Guangdong Institute of science and technology
吉林省经济管理干部学院	Jilin ECONOMIC MANAGEMENT CADRE COLLEGE
大庆医学高等专科学校	Daqing Medical College
江苏省广播电视大学	Jiangsu Radio and TV University
南京人口管理干部学院	Nanjing Institute of population management
江苏省省级机关管理干部学院	Jiangsu Provincial Administrative Cadre College
安徽城市管理职业学院	anhui occupational college of city management
闽北职业技术学院	Minbei vocational and Technical College
闽江师范高等专科学校	Minjiang Teachers College
福建财会管理干部学院	Fujian Institute of Finance and accounting management
南昌教育学院	Nanchang Education College
河南卫生职工学院	Henan health staff college
河南政法管理干部学院	Henan Institute of political science and law management
广东文艺职业学院	Guangdong Vocational College of literature and art
广东工程职业技术学院	Guangdong Polytechnic of Engineering
广西警官高等专科学校	Guangxi Police Academy
广西政法管理干部学院	Guangxi Institute of political science and law management
陕西工运学院	Shaanxi Institute of industry and sports
白银有色金属公司职工大学	Baiyin Nonferrous Metals Company staff University
新疆教育学院	Xinjiang Institute of Education
北京经济管理职业学院	Beijing Vocational College of economics and management
北京政法职业学院	Beijing Vocational College of politics and law
南宁地区教育学院	Nanning Regional Institute of Education
辽宁商贸职业学院	Liaoning Vocational College of Commerce and trade
辽宁文化艺术职工大学	Liaoning University of culture and Arts
兰州教育学院	Lanzhou Institute of Education
赣南教育学院	Gannan Institute of Education
河北管理干部学院	Hebei Institute of management cadres
哈尔滨市职工医学院	Harbin staff medical college
黑龙江生态工程职业学院	Heilongjiang Ecological Engineering Vocational College
武汉冶金管理干部学院	Wuhan Institute of metallurgical management
山东电力高等专科学校	Shandong College of Electric Power
山西政法管理干部学院	Shanxi Institute of political and legal management cadres
河北青年管理干部学院	Hebei Youth MANAGEMENT CADRE COLLEGE
江苏省青年管理干部学院	Jiangsu youth MANAGEMENT CADRE COLLEGE
广东行政职业学院	Guangdong Vocational College of administration
辽宁公安司法管理干部学院	Liaoning police judicial MANAGEMENT CADRE COLLEGE
山东省工会管理干部学院	Shandong Trade Union Management Cadre College
山东省青年管理干部学院	Shandong Youth MANAGEMENT CADRE COLLEGE
重庆民生职业技术学院	Chongqing Minsheng vocational and Technical College
北京锡华国际经贸职业学院	Beijing Xihua International Business College
石家庄联合技术职业学院	Shijiazhuang United Vocational College
保定科技职业学院	Baoding Vocational College of science and technology
石家庄外事职业学院	Shijiazhuang Vocational College of Foreign Affairs
石家庄工商职业学院	Shijiazhuang Vocational College of industry and Commerce
山西华澳商贸职业学院	Shanxi Huaao Business Vocational College
山西同文外语职业学院	Shanxi Tongwen Foreign Language Vocational College
山西老区职业技术学院	Shanxi Vocational College
山西信息职业技术学院	shanxi vocational college of information technology
山西工商职业学院	Shanxi Vocational College of industry and Commerce
内蒙古丰州职业学院	Inner Mongolia Fengzhou Vocational College
内蒙古经贸外语职业学院	Inner Mongolia Economic and Trade Foreign Language Vocational College
赤峰职业技术学院	Chifeng vocational and Technical College
内蒙古北方职业技术学院	North Inner Mongolia professional technical Institute
内蒙古科技职业学院	Inner Mongolia Vocational College of science and technology
大连翻译职业学院	Dalian Institute of translation
辽宁美术职业学院	Liaoning Vocational College of Fine Arts
锦州商务职业学院	Jinzhou Business Vocational College
吉林华桥外国语学院	Jilin Huaqiao Foreign Languages Institute
长春信息技术职业学院	changchun information technology college
哈尔滨现代公共关系职业学院	Harbin modern public relations vocational college
哈尔滨应用职业技术学院	Harbin Institute of Applied Technology
上海新侨职业技术学院	Shanghai Xinqiao Vocational and Technical College
上海东海职业技术学院	Shanghai Donghai Vocational and Technical College
上海立达职业技术学院	shanghai lida polytechnic institute
上海民远职业技术学院	Shanghai Minyuan vocational and Technical College
上海欧华职业技术学院	Shanghai Ouhua Vocational and Technical College
上海邦德职业技术学院	Shanghai bond Polytechnic
上海震旦职业学院	Shanghai Zhendan Vocational College
上海中侨职业技术学院	Shanghai Zhongqiao College
上海中华职业技术学院	Shanghai China Vocational and Technical College
苏州港大思培科技职业学院	Suzhou GANGDA Sipei Vocational College of science and technology
应天职业技术学院	Yingtian vocational and Technical College
南京视觉艺术职业学院	Nanjing vocational college of Visual Arts
建东职业技术学院	Jiandong vocational and Technical College
江海职业技术学院	jianghai polytechnic college
昆山登云科技职业学院	Kunshan Dengyun Vocational College of science and technology
江南影视艺术职业学院	Jiangnan film and Television Art Vocational College
苏州托普信息职业技术学院	Suzhou Top Institute of Information Technology
太湖创意职业技术学院	Taihu creative vocational and Technical College
金山职业技术学院	jinshan vocational technical college
杭州万向职业技术学院	Hangzhou Wanxiang polytechnic
浙江长征职业技术学院	Zhejiang Changzheng vocational and Technical College
嘉兴南洋职业技术学院	Jiaxing Nanyang vocational and Technical College
浙江广厦建设职业技术学院	Zhejiang Guangxia Construction Vocational and Technical College
安徽绿海商务职业学院	Anhui Lvhai Vocational College of Business
合肥共达职业技术学院	Hefei Gongda Vocational and Technical College
蚌埠经济技术职业学院	Bengbu Institute of Business and Technology
民办合肥财经职业学院	Private Hefei Vocational College of Finance and Economics
安徽涉外经济职业学院	Anhui Vocational College of foreign economics
武夷山职业学院	Wuyishan Vocational College
泉州信息工程学院	Quanzhou Institute of Information Engineering
福州黎明职业技术学院	Fuzhou Liming Vocational and Technical College
厦门兴才职业技术学院	Xiamen xingcai vocational and Technical College
福州软件职业技术学院	Fuzhou Software Technology Vocational College
泉州理工职业学院	Quanzhou Institute of Technology
福州外语外贸职业技术学院	Fuzhou Institute of foreign languages and foreign trade
漳州吉马印刷职业技术学院	Zhangzhou Jima printing vocational and Technical College
漳州天福茶职业技术学院	Zhangzhou Tianfu tea vocational and Technical College
厦门东海职业技术学院	Xiamen Donghai Vocational and Technical College
厦门南洋职业学院	Xiamen Nanyang Vocational College
厦门软件职业技术学院	xiamen institute of software technology
福州科技职业技术学院	Fuzhou Science and Technology College
福州海峡职业技术学院	fuzhou strait vocation and technological college
江西渝州科技职业学院	Jiangxi Yuzhou Vocational College of science and technology
江西科技职业学院	Jiangxi Vocational College of science and technology
赣西科技职业学院	Ganxi Vocational College of science and technology
江西城市职业学院	Jiangxi City University
山东外国语职业学院	Shandong Foreign Languages Vocational College
潍坊工商职业学院	Weifang Vocational College of business and Industry
枣庄科技职业学院	Zaozhuang Vocational College of science and technology
山东凯文科技职业学院	Shandong Kaiwen Vocational College of science and technology
山东现代职业学院	Shandong Modern Vocational College
青岛黄海职业学院	Qingdao Huanghai Vocational College
山东华宇职业技术学院	Shandong Huayu vocational and Technical College
山东协和职业技术学院	Shandong Union College of Vocational Technology
山东外事翻译职业学院	shandong international university
山东杏林科技职业学院	Shandong Xinglin Vocational College of science and technology
郑州交通职业学院	zhengzhou jiaotong vocational college
郑州电子信息职业技术学院	Zhengzhou Institute of electronic information technology
嵩山少林武术职业学院	Songshan Shaolin Wushu Vocational College
郑州电力职业技术学院	Zhengzhou Electric Power Vocational and Technical College
商丘科技职业学院	Shangqiu Vocational College of science and technology
武汉工贸职业学院	Wuhan Vocational College of industry and trade
黄冈科技职业学院	Huanggang Vocational College of science and technology
武汉语言文化职业学院	Wuhan language and culture Vocational College
湖北科技职业学院	Hubei Vocational College of science and technology
湖南科技经贸职业学院	Hunan Vocational College of science, technology and Economics
湖南九嶷职业技术学院	Hunan Jiuyi vocational and Technical College
湖南都市职业学院	Hunan Urban Vocational College
湖南软件职业学院	Hunan Software Vocational College
长沙南方职业学院	Changsha Southern Vocational College
潇湘职业学院	Xiaoxiang Vocational College
湖南外国语职业学院	Hunan Foreign Language Vocational College
湖南同德职业学院	Hunan Tongde Vocational College
长沙社会安全职业技术学院	Changsha Vocational and Technical College of social security
湖南电子科技职业学院	Hunan Vocational College of Electronic Science and technology
湖南信息科学职业学院	Hunan Vocational College of Information Science
民办南华工商学院	Private Nanhua Business College
肇庆科技职业技术学院	Zhaoqing Polytechnic of science and technology
东莞南博职业技术学院	Dongguan Nanbo vocational and Technical College
惠州经济职业技术学院	huizhou economics and polytechnic college
广州科技职业技术学院	Guangzhou Polytechnic of science and technology
广州工商职业技术学院	Guangzhou Polytechnic of industry and Commerce
广州珠江职业技术学院	Guangzhou Zhujiang Polytechnic
广州松田职业学院	Guangzhou Songtian Vocational College
湛江现代科技职业学院	Zhanjiang Vocational College of modern science and technology
广州涉外经济职业技术学院	Guangzhou International Economics College
广州城建职业学院	Guangzhou City Construction College
肇庆工商职业技术学院	Zhaoqing Polytechnic of business and Industry
广州华南商贸职业学院	South China Business Trade College
广州现代信息工程职业技术学院	Guangzhou Modern Information Engineering Vocational and Technical College
广州华立科技职业学院	Guangzhou Huali Vocational College of science and technology
广西英华国际职业学院	Guangxi Yinghua International Vocational College
广西城市职业学院	Guangxi City Vocational College
广西工程职业学院	Guangxi Engineering Vocational College
广西东方外语职业学院	Guangxi Oriental vocational college of foreign languages
广西演艺职业学院	Guangxi Vocational College of performing arts
北海艺术设计职业学院	Beihai Vocational Institute of Art&Design
桂林山水职业学院	Guilin landscape Vocational College
三亚城市职业学院	Sanya City Vocational College
重庆正大软件职业技术学院	Chongqing Zhengda Software Vocational and Technical College
四川科技职业学院	Sichuan Vocational College of science and technology
四川华新现代职业学院	Sichuan Huaxin Modern Vocational College
四川文化传媒职业学院	Sichuan Vocational College of culture and media
贵州亚泰职业学院	Guizhou Yatai Vocational College
云南新兴职业学院	Yunnan Xinxing Vocational College
云南经济管理职业学院	Yunnan College of Business Management
昆明扬帆职业技术学院	Kunming Sailing University
云南北美职业学院	Yunnan North American Vocational College
云南爱因森软件职业学院	Yunnan einsen Software Vocational College
西安东方亚太职业技术学院	Xi'an Oriental Asia Pacific vocational and Technical College
西安汽车科技职业学院	Xi'an Automobile Technology Vocational College
西安科技商贸职业学院	Xi'an Vocational College of science, technology and Commerce
陕西电子科技职业学院	Shaanxi Vocational College of Electronical Technology
陕西旅游烹饪职业学院	Shaanxi Vocational College of tourism and cuisine
银川科技职业学院	Yinchuan Vocational College of science and technology
新疆能源职业技术学院	Xinjiang energy vocational and Technical College
新疆天山职业技术学院	Xinjiang Tianshan vocational and Technical College
新疆现代职业技术学院	Xinjiang Modern Vocational and Technical College
漳州城市职业学院	zhangzhou city university
福建卫生职业技术学院	Fujian health vocational and Technical College
南昌师范高等专科学校	Nanchang Teachers College
江西中医药高等专科学校	Jiangxi College of traditional Chinese Medicine
江西泰豪动漫职业学院	Jiangxi Taihao animation Vocational College
江西枫林涉外经贸职业学院	Jiangxi Fenglin Foreign Trade Vocational College
江西中山职业技术学院	Jiangxi Zhongshan vocational and Technical College
江西生物科技职业学院	Jiangxi Biotech Vocational College
江西航空职业技术学院	Jiangxi aviation vocational and Technical College
江西工程职业学院	jiangxi engineering vocational college
江西青年职业学院	Jiangxi Youth Vocational College
宜春职业技术学院	Yichun Vocational Technical College
江西应用工程职业学院	Jiangxi Vocational College of Applied Engineering
江西经济管理职业学院	Jiangxi Vocational College of economic management
上饶职业技术学院	Shangrao vocational and Technical College
江西农业工程职业学院	Jiangxi Agricultural Engineering Vocational College
江西护理职业技术学院	Jiangxi Nursing College
山东中医药高等专科学校	Shandong College of traditional Chinese Medicine
淄博师范高等专科学校	zibo normal college
山东科技职业学院	Shandong Vocational College of science and technology
山东城市建设职业学院	Shandong Urban Construction Vocational College
烟台汽车工程职业学院	Yantai Automobile Engineering Vocational College
山东司法警官职业学院	Shandong Judicial Police Vocational College
泰山职业技术学院	Taishan vocational and Technical College
山东工业职业学院	Shandong Institute of Technology
德州职业技术学院	Dezhou Polytechnic
烟台工程职业技术学院	Yantai Engineering & Technology College
枣庄职业学院	Zaozhuang Vocational College
临沂职业学院	Linyi Vocational College
山东传媒职业学院	Shandong Media Vocational College
山东化工职业学院	Shandong Chemical College
山东商务职业学院	shandong business institute
山东经贸职业学院	Shandong Vocational College of economics and trade
济南职业学院	jinan vocational college
山东电子职业技术学院	Shandong College of Electronic Technology
山东丝绸纺织职业学院	Shandong Silk Textile Vocational College
山东铝业职业学院	Shandong Aluminum Vocational College
菏泽家政职业学院	Heze Home Economics Vocational College
山东胜利职业学院	Shandong Shengli Vocational College
河南工业贸易职业学院	Henan Vocational College of industry and trade
河南交通职业技术学院	Henan Communication Vocational Technology College
河南经贸职业学院	Henan Vocational College of economics and trade
河南农业职业学院	Henan Agricultural Vocational College
河南质量工程职业学院	Henan Quality Polytechnic
漯河医学高等专科学校	Luohe Medical College
南阳医学高等专科学校	Nanyang Medical College
商丘医学高等专科学校	shangqiu medical college
信阳职业技术学院	Xinyang vocational and Technical College
郑州工业安全职业学院	zhengzhou vocational college of industrial safety
郑州信息科技职业学院	Zhengzhou Information Technology Vocational College
郑州旅游职业学院	Zhengzhou Tourism Vocational College
河南建筑职业技术学院	Henan Technical College of Construction
周口科技职业学院	Zhoukou Vocational College of science and technology
沙市职业大学	Shashi Vocational University
江汉艺术职业学院	Jianghan Art Vocational College
湖北艺术职业学院	Hubei Art Vocational College
湖北生物科技职业学院	Hubei Vocational College of Bio-technology
咸宁职业技术学院	Xianning Vocational and Technical College
武汉工业职业技术学院	Wuhan Institute of Technology
湖北生态工程职业技术学院	hubei ecology vocational college
三峡电力职业学院	Three Gorges Electric Power Vocational College
湖北财税职业学院	Hubei Vocational College of Finance and taxation
武汉软件工程职业学院	Wuhan Software Engineering Vocational College
湖北青年职业学院	Hubei Youth Vocational College
黄石职业技术学院	Huangshi vocational and Technical College
益阳医学高等专科学校	Yiyang Medical College
湖南中医药高等专科学校	Hunan Traditional Chinese Medical College
邵阳医学高等专科学校	Shaoyang Medical College
湖南信息职业技术学院	Hunan College of Information
长沙电力职业技术学院	Changsha Electric Power Vocational and Technical College
湖南水利水电职业技术学院	Hunan Vocational College of water resources and hydropower
湖南现代物流职业技术学院	Hunan Modern Logistics Vocational and Technical College
湖南交通工程职业技术学院	Hunan Communications Engineering Vocational and Technical College
湖南铁路科技职业技术学院	Hunan Vocational College of Railway Technology
湖南工艺美术职业学院	hunan arts and crafts vocational college
湖南民族职业学院	Hunan Vocational College for Nationalities
衡阳财经工业职业技术学院	Hengyang College of Finance and Industry
湖南石油化工职业技术学院	Hunan Petrochemical Vocational Technology College
湖南化工职业技术学院	Hunan Institute of Chemical Technology
怀化职业技术学院	Huaihua vocational and Technical College
湖南理工职业技术学院	Hunan Institute of Technology
湖南安全技术职业学院	Hunan Vocational College of safety technology
长沙师范学院	Changsha Normal University
湘西民族职业技术学院	Xiangxi Vocational College for Nationalities
益阳职业技术学院	Yiyang vocational and Technical College
湖南电气职业技术学院	Hunan Electric vocational and Technical College
株洲职业技术学院	Zhuzhou vocational and Technical College
湖南城建职业技术学院	Hunan Urban Construction Vocational and Technical College
湖南网络工程职业学院	Hunan Network Engineering Vocational College
长沙职业技术学院	Changsha Vocational and Technical College
